year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
2021,665489,Vladimir Guerrero Jr.,player,1,Vladimir Guerrero Jr.,Vladimir,Guerrero Jr.,Vladimir,V Guerrero Jr.,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,1B,First Base,1B,269,154,75,0,1,.344,34,4,6,39,980,3.643,.149,.152,.078,.976,.344,2,0,20,438,127,184,10,13,64,18,0,36,23,63,43,49,12,1,21,41,40,5,77,.344,224,.450,.688,1.137,1,2,.667,6,55,1.49,0,10.67
2021,608385,Jesse Winker,player,2,Jesse Winker,Jesse,Winker,Jesse,J Winker,113,CIN,Cincinnati Reds,Reds,NL,104,LF,Outfielder,LF,249,141,76,0,0,.366,30,4,5,29,990,3.976,.096,.173,.068,.558,.294,0,1,25,431,92,178,10,12,55,19,1,36,20,56,47,48,12,1,17,43,24,0,76,.344,221,.418,.638,1.056,0,0,.---,5,40,1.17,0,13.00
2021,592206,Nick Castellanos,player,3,Nick Castellanos,Nicholas,Castellanos,Nick,N Castellanos,113,CIN,Cincinnati Reds,Reds,NL,104,RF,Outfielder,RF,255,148,94,0,0,.418,37,2,6,45,949,3.722,.078,.196,.051,.400,.275,2,1,26,519,154,183,6,17,50,18,0,45,21,58,49,44,23,1,13,50,20,0,84,.361,233,.416,.635,1.051,1,1,.500,6,36,1.02,0,17.92
2021,660670,Ronald Acuna Jr.,player,4,Ronald Acuna Jr.,Ronald,Acuna,Ronald,R Acuña,144,ATL,Atlanta Braves,Braves,NL,104,RF,Outfielder,RF,259,129,68,0,3,.299,31,4,0,17,1023,3.950,.139,.220,.069,.632,.315,0,1,33,425,108,162,15,15,38,17,0,28,16,59,63,52,12,1,18,57,36,1,61,.282,216,.390,.597,.987,4,12,.750,0,39,0.60,0,12.00
2021,621566,Matt Olson,player,5,Matt Olson,Matthew,Olson,Matt,M Olson,133,OAK,Oakland Athletics,Athletics,AL,103,1B,First Base,1B,254,133,85,0,4,.280,34,4,7,42,1012,3.984,.110,.169,.071,.651,.321,1,0,35,466,113,179,15,8,58,23,0,27,13,61,58,41,16,0,18,43,28,2,63,.289,218,.374,.610,.984,1,0,.000,7,47,1.00,0,12.11
2021,660271,Shohei Ohtani,player,6,Shohei Ohtani,Shohei,Ohtani,Shohei,S Ohtani,108,LAA,Los Angeles Angels,Angels,AL,103,DH,Designated Hitter,P,241,129,75,0,1,.317,35,3,3,30,950,3.942,.104,.290,.071,.357,.340,5,0,24,464,157,143,8,13,41,20,1,24,12,60,45,42,15,3,17,70,25,2,57,.269,212,.353,.608,.961,3,9,.750,3,45,0.91,0,12.47
2021,571970,Max Muncy,player,7,Max Muncy,Maxwell,Muncy,Max,M Muncy,119,LAD,Los Angeles Dodgers,Dodgers,NL,104,1B,First Base,1B,244,102,91,0,0,.287,22,5,2,29,1007,4.127,.189,.205,.057,.920,.264,2,0,29,348,80,143,7,5,51,14,0,28,9,60,41,40,7,1,14,50,46,4,51,.264,193,.418,.528,.946,0,1,1.000,2,33,1.24,0,13.79
2021,593428,Xander Bogaerts,player,8,Xander Bogaerts,Xander,Bogaerts,Xander,X Bogaerts,111,BOS,Boston Red Sox,Red Sox,AL,103,SS,Shortstop,SS,255,127,105,0,3,.363,29,2,3,35,1048,4.110,.086,.188,.047,.458,.232,3,0,22,483,112,183,11,18,58,16,2,40,16,61,51,38,17,0,12,48,22,1,74,.325,228,.384,.557,.941,0,4,1.000,3,39,1.14,0,19.00
2021,592178,Kris Bryant,player,9,Kris Bryant,Kristopher,Bryant,Kris,K Bryant,112,CHC,Chicago Cubs,Cubs,NL,104,LF,Outfielder,LF,252,123,81,0,1,.346,30,3,4,34,998,3.960,.103,.226,.052,.456,.257,1,0,28,462,120,166,9,9,54,22,1,31,12,60,46,40,16,1,13,57,26,1,66,.297,222,.377,.554,.931,2,3,.600,4,39,1.17,0,17.08
2021,493329,Yuli Gurriel,player,10,Yuli Gurriel,Yulieski,Gurriel,Yuli,Y Gurriel,117,HOU,Houston Astros,Astros,AL,103,1B,First Base,1B,255,118,86,0,6,.318,27,1,5,36,955,3.745,.110,.094,.039,1.167,.214,0,0,35,421,62,202,21,21,54,19,0,28,24,60,77,31,17,0,10,24,28,1,71,.323,220,.392,.536,.928,1,1,.500,5,47,0.70,0,22.00
