,playerName,homeRuns,strikeOuts
0,Vladimir Guerrero Jr.,21,41
1,Jesse Winker,17,43
2,Nick Castellanos,13,50
3,Ronald Acuna Jr.,18,57
4,Matt Olson,18,43
5,Shohei Ohtani,17,70
6,Max Muncy,14,50
7,Xander Bogaerts,12,48
8,Kris Bryant,13,57
9,Yuli Gurriel,10,24
10,J.D. Martinez,13,58
11,Aaron Judge,15,63
12,Jared Walsh,14,68
13,Cedric Mullins,9,50
14,Nelson Cruz,13,43
15,Austin Riley,12,70
16,Bryan Reynolds,10,54
17,Rafael Devers,15,67
18,Marcus Semien,15,67
19,Jose Ramirez,14,33
20,Michael Brantley,3,22
21,Yordan Alvarez,9,58
22,Adam Frazier,2,30
23,Brandon Crawford,14,50
24,Carlos Correa,11,44
